input_gain,input_phase,output_gain,output_phase
24,21,-13.6,54
24,22,-14,70
24,23,-14.4,82
24,24,-13.8,92
24,25,-14.1,103
24,26,-14.2,119
24,27,-14.7,129
24,28,-13.8,146
24,29,-13.9,156
24,30,-13.9,170
24,31,-14.2,-179
23,0,-12,-165
23,1,-11.9,-157
23,2,-11.9,-143
23,3,-12.1,-135
23,4,-11.9,-123
23,5,-11.8,-115
23,6,-11.9,-103
23,7,-12.1,-95
23,8,-11.6,-87
23,9,-11.7,-79
23,10,-11.9,-67
23,11,-12.3,-60
23,12,-11.9,-48
23,13,-12,-39
23,14,-12.3,-27
23,15,-12.8,-18
23,16,-11.9,-3
23,17,-12,5
23,18,-12.3,21
23,19,-12.7,29
23,20,-12.7,44
23,21,-12.7,53
23,22,-13,69
23,23,-13.3,80
23,24,-12.7,91
23,25,-12.9,102
23,26,-13,118
23,27,-13.6,129
23,28,-12.8,144
23,29,-12.8,154
23,30,-12.9,169
23,31,-13.2,179
22,0,-11,-164
22,1,-10.9,-156
22,2,-11,-143
22,3,-11.2,-134
22,4,-11,-122
22,5,-10.8,-115
22,6,-11,-103
22,7,-11.2,-94
22,8,-10.7,-85
22,9,-10.8,-78
22,10,-10.9,-67
22,11,-11.4,-59
22,12,-10.9,-46
22,13,-11,-37
22,14,-11.3,-25
22,15,-11.8,-16
22,16,-10.9,-2
22,17,-11,7
22,18,-11.2,21
22,19,-11.6,31
22,20,-11.5,45
22,21,-11.5,56
22,22,-11.8,71
22,23,-12.2,82
22,24,-11.6,93
22,25,-11.7,104
22,26,-11.9,119
22,27,-12.4,130
22,28,-11.7,145
22,29,-11.8,156
22,30,-11.8,170
22,31,-12.2,-179
21,0,-9.9,-165
21,1,-9.9,-157
21,2,-9.9,-144
21,3,-10.2,-135
21,4,-10,-123
21,5,-9.9,-115
21,6,-10,-104
21,7,-10.2,-95
21,8,-9.6,-87
21,9,-9.8,-79
21,10,-9.9,-69
21,11,-10.4,-60
21,12,-9.8,-48
21,13,-9.9,-39
21,14,-10,-27
21,15,-10.6,-18
21,16,-9.8,-4
21,17,-9.7,5
21,18,-10,19
21,19,-10,29
21,20,-10.2,43
21,21,-10.3,53
21,22,-10.6,69
21,23,-10.9,80
21,24,-10,91
21,25,-10.3,102
21,26,-10.5,117
21,27,-11.1,128
21,28,-10.4,143
21,29,-10.5,154
21,30,-10.6,168
21,31,-11,179
20,0,-8.8,-166
20,1,-8.7,-158
20,2,-8.9,-145
20,3,-9.1,-137
20,4,-9,-124
20,5,-8.9,-117
20,6,-9,-105
20,7,-9.2,-96
20,8,-8.6,-88
20,9,-8.7,-80
20,10,-8.9,-69
20,11,-9.3,-60
20,12,-8.8,-48
20,13,-9,-39
20,14,-9.1,-27
20,15,-9.5,-19
20,16,-8.5,-4
20,17,-8.7,4
20,18,-8.9,18
20,19,-9.2,28
20,20,-9,43
20,21,-9,52
20,22,-9.2,68
20,23,-9.7,79
20,24,-9,90
20,25,-9.2,101
20,26,-9.4,117
20,27,-10,127
20,28,-9.3,142
20,29,-9.5,153
20,30,-9.7,167
20,31,-10,177
19,0,-7.9,-166
19,1,-7.9,-158
19,2,-8,-145
19,3,-8.3,-137
19,4,-8.2,-125
19,5,-8,-117
19,6,-8.2,-105
19,7,-8.4,-97
19,8,-7.8,-88
19,9,-8,-80
19,10,-8.1,-69
19,11,-8.5,-61
19,12,-8,-49
19,13,-8.1,-40
19,14,-8.2,-28
19,15,-8.6,-19
19,16,-7.8,-5
19,17,-7.7,4
19,18,-7.8,18
19,19,-8.1,28
19,20,-8,43
19,21,-8,52
19,22,-8.2,68
19,23,-8.5,79
19,24,-7.8,90
19,25,-8.1,101
19,26,-8.3,116
19,27,-8.9,127
19,28,-8.3,142
19,29,-8.4,153
19,30,-8.5,167
19,31,-9,177
18,0,-6.9,-166
18,1,-7,-158
18,2,-7.1,-145
18,3,-7.4,-137
18,4,-7.2,-125
18,5,-7.2,-117
18,6,-7.4,-105
18,7,-7.5,-97
18,8,-7,-89
18,9,-7.1,-82
18,10,-7.2,-69
18,11,-7.6,-61
18,12,-7.1,-49
18,13,-7.2,-40
18,14,-7.2,-28
18,15,-7.7,-19
18,16,-6.7,-4
18,17,-6.7,4
18,18,-7,18
18,19,-7.1,28
18,20,-7,41
18,21,-7,52
18,22,-7.1,68
18,23,-7.5,79
18,24,-6.7,90
18,25,-7,100
18,26,-7.2,115
18,27,-7.7,126
18,28,-7.1,142
18,29,-7.3,152
18,30,-7.6,167
18,31,-8,176
17,0,-5.9,-166
17,1,-6,-158
17,2,-6.2,-145
17,3,-6.5,-137
17,4,-6.3,-125
17,5,-6.3,-117
17,6,-6.5,-105
17,7,-6.7,-97
17,8,-6.1,-89
17,9,-6.2,-81
17,10,-6.4,-69
17,11,-6.8,-61
17,12,-6.2,-50
17,13,-6.3,-41
17,14,-6.4,-28
17,15,-6.7,-19
17,16,-5.8,-5
17,17,-5.6,3
17,18,-5.7,17
17,19,-6,27
17,20,-5.7,42
17,21,-5.7,52
17,22,-5.9,68
17,23,-6.2,79
17,24,-5.5,90
17,25,-5.7,101
17,26,-6,116
17,27,-6.6,126
17,28,-6,142
17,29,-6.2,153
17,30,-6.5,167
17,31,-6.9,176
16,0,-4.9,-166
16,1,-5,-158
16,2,-5.1,-145
16,3,-5.5,-137
16,4,-5.4,-125
16,5,-5.4,-117
16,6,-5.5,-105
16,7,-5.7,-97
16,8,-5.1,-89
16,9,-5.3,-81
16,10,-5.4,-70
16,11,-5.8,-62
16,12,-5.2,-50
16,13,-5.3,-41
16,14,-5.4,-28
16,15,-5.7,-20
16,16,-4.5,-5
16,17,-4.5,3
16,18,-4.5,18
16,19,-4.8,27
16,20,-4.5,42
16,21,-4.4,52
16,22,-4.6,67
16,23,-5,79
16,24,-4.2,90
16,25,-4.5,101
16,26,-4.7,117
16,27,-5.4,127
16,28,-4.8,142
16,29,-5,153
16,30,-5.3,167
16,31,-6,177
15,0,-4,-165
15,1,-4.2,-157
15,2,-4.4,-144
15,3,-4.8,-136
15,4,-4.6,-124
15,5,-4.6,-116
15,6,-4.8,-104
15,7,-5,-97
15,8,-4.5,-88
15,9,-4.6,-80
15,10,-4.7,-69
15,11,-5,-61
15,12,-4.5,-49
15,13,-4.5,-40
15,14,-4.5,-28
15,15,-4.8,-19
15,16,-3.7,-5
15,17,-3.8,4
15,18,-3.6,18
15,19,-3.9,29
15,20,-3.5,43
15,21,-3.4,53
15,22,-3.6,68
15,23,-3.9,79
15,24,-3.1,91
15,25,-3.4,102
15,26,-3.7,118
15,27,-4.3,128
15,28,-3.8,143
15,29,-4,154
15,30,-4.4,168
15,31,-4.9,178
14,0,-3,-164
14,1,-3.2,-157
14,2,-3.5,-143
14,3,-3.8,-136
14,4,-3.7,-124
14,5,-3.7,-116
14,6,-4,-104
14,7,-4.2,-96
14,8,-3.6,-88
14,9,-3.7,-80
14,10,-3.8,-68
14,11,-4.2,-61
14,12,-3.6,-49
14,13,-3.5,-40
14,14,-3.6,-28
14,15,-3.9,-19
14,16,-2.7,-5
14,17,-2.7,3
14,18,-2.6,17
14,19,-2.8,28
14,20,-2.4,43
14,21,-2.3,53
14,22,-2.5,68
14,23,-2.7,80
14,24,-2,91
14,25,-2.2,102
14,26,-2.5,118
14,27,-3.2,129
14,28,-2.8,144
14,29,-3,155
14,30,-3.4,169
14,31,-4,178
13,0,-2.1,-163
13,1,-2.2,-156
13,2,-2.6,-143
13,3,-2.9,-135
13,4,-2.8,-123
13,5,-2.9,-116
13,6,-3.1,-104
13,7,-3.3,-96
13,8,-2.8,-88
13,9,-2.9,-80
13,10,-2.9,-69
13,11,-3.3,-61
13,12,-2.7,-50
13,13,-2.7,-41
13,14,-2.7,-28
